tic,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2024-09-13 19:48:30+00:00,561.98,562.04,561.91,561.94,1691,31,561.984843
SPY,2024-09-13 19:49:46+00:00,562.02,562.02,561.785,561.83,1318,25,561.882932
SPY,2024-09-13 19:50:22+00:00,561.86,561.985,561.77,561.985,7233,66,561.843855
SPY,2024-09-13 19:51:59+00:00,562.06,562.06,561.96,562.045,3939,41,562.028819
SPY,2024-09-13 19:52:36+00:00,562.01,562.165,562.01,562.16,4942,44,562.094509
SPY,2024-09-13 19:53:48+00:00,562.11,562.16,562.085,562.085,4676,66,562.1108
SPY,2024-09-13 19:54:53+00:00,562.04,562.165,561.965,562.165,6928,47,562.0422
SPY,2024-09-13 19:55:15+00:00,562.195,562.33,562.02,562.16,6939,72,562.151082
SPY,2024-09-13 19:56:49+00:00,562.085,562.14,562.025,562.065,5418,72,562.091347
SPY,2024-09-13 19:57:31+00:00,561.96,562.08,561.78,562.08,9014,103,561.996875
AAPL,2024-09-13 19:48:30+00:00,222.71,222.74,222.62,222.64,3615,38,222.674838
AAPL,2024-09-13 19:49:46+00:00,222.665,222.665,222.52,222.52,5439,45,222.638952
AAPL,2024-09-13 19:50:22+00:00,222.7,222.74,222.51,222.55,7433,85,222.593511
AAPL,2024-09-13 19:51:59+00:00,222.63,222.72,222.61,222.66,4760,54,222.664002
AAPL,2024-09-13 19:52:36+00:00,222.665,222.665,222.49,222.64,5071,52,222.605022
AAPL,2024-09-13 19:53:48+00:00,222.71,222.8,222.49,222.585,5480,74,222.683171
AAPL,2024-09-13 19:54:53+00:00,222.54,222.58,222.37,222.485,6536,120,222.494565
AAPL,2024-09-13 19:55:15+00:00,222.53,222.64,222.38,222.49,16077,191,222.526224
AAPL,2024-09-13 19:56:49+00:00,222.53,222.535,222.4,222.475,13577,140,222.432265
AAPL,2024-09-13 19:57:31+00:00,222.42,222.51,222.35,222.48,8682,129,222.447703
NVDA,2024-09-13 19:48:30+00:00,118.89,118.96,118.85,118.96,3988,46,118.917693
NVDA,2024-09-13 19:49:46+00:00,118.93,118.96,118.9,118.9,5132,50,118.92814
NVDA,2024-09-13 19:50:22+00:00,118.9,119.02,118.89,119.02,6886,79,118.9654
NVDA,2024-09-13 19:51:59+00:00,119.025,119.05,118.92,118.94,7142,81,118.987191
NVDA,2024-09-13 19:52:36+00:00,118.9,118.98,118.9,118.98,7680,88,118.941141
NVDA,2024-09-13 19:53:48+00:00,118.95,118.97,118.87,118.92,10152,84,118.930831
NVDA,2024-09-13 19:54:53+00:00,118.895,119.0,118.81,118.99,10850,114,118.922807
NVDA,2024-09-13 19:55:15+00:00,118.97,119.14,118.97,119.08,17027,155,119.079139
NVDA,2024-09-13 19:56:49+00:00,119.09,119.09,119.01,119.07,10173,92,119.029516
NVDA,2024-09-13 19:57:31+00:00,119.045,119.075,118.9,119.065,18528,165,119.012071
XOP,2024-09-13 19:48:30+00:00,128.49,128.49,128.49,128.49,151,3,128.499106
XOP,2024-09-13 19:49:46+00:00,128.48,128.48,128.45,128.45,419,5,128.464344
XOP,2024-09-13 19:50:22+00:00,128.46,128.46,128.305,128.305,1297,30,128.376369
XOP,2024-09-13 19:51:59+00:00,128.36,128.36,128.29,128.29,469,23,128.329851
XOP,2024-09-13 19:52:36+00:00,128.255,128.295,128.255,128.295,353,7,128.268952
XOP,2024-09-13 19:53:48+00:00,128.285,128.32,128.285,128.31,642,12,128.318045
XOP,2024-09-13 19:54:53+00:00,128.3,128.415,128.3,128.415,1644,36,128.359599
XOP,2024-09-13 19:55:15+00:00,128.43,128.47,128.43,128.47,2621,47,128.447356
XOP,2024-09-13 19:56:49+00:00,128.47,128.51,128.44,128.44,1920,32,128.473365
XOP,2024-09-13 19:57:31+00:00,128.42,128.42,128.39,128.42,2692,45,128.414428
SPY,2024-09-13 19:58:25+00:00,562.065,562.15,561.99,562.03,8085,112,562.057564
NVDA,2024-09-13 19:58:25+00:00,119.08,119.1,119.02,119.07,14965,193,119.075456
AAPL,2024-09-13 19:58:25+00:00,222.465,222.515,222.42,222.465,12279,177,222.480485
XOP,2024-09-13 19:58:25+00:00,128.42,128.52,128.42,128.52,1510,21,128.450851
